BARRIO,SITIO
EDUARDO SANTOS,INTERIOR VEHICULO SERVICIO PUBLICO
MIRAMAR,VIAS PUBLICAS
GRANADA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
JORDAN VIII ETAPA,VIAS PUBLICAS
PALERMO,VIAS PUBLICAS
CENTRO,"HOTELES, RESIDENCIAS, Y SIMILARES."
SICOMORO,CASAS DE HABITACION
SAN LUIS E6,VIAS PUBLICAS
JOSE M. MARROQUIN II E14,VIAS PUBLICAS
CIUDAD CORDOBA E15,VIAS PUBLICAS
JOSE M. MARROQUIN II E14,VIAS PUBLICAS
LOS LAGOS E13,VIAS PUBLICAS
SAN PEDRO E3,ESTACION M.I.O.
VILLA DEL PRADO - EL GUABITO E5,VIAS PUBLICAS
BUENOS AIRES E18,VIAS PUBLICAS
PUERTO MALLARINO E7,VIAS PUBLICAS
MIRAFLORES E19,VIAS PUBLICAS
VERSALLES E2,VIAS PUBLICAS
VILLA BLANCA E13,VIAS PUBLICAS
LA MERCED E3,VIAS PUBLICAS
SANTA ANITA E17,VIAS PUBLICAS
SANTA TERESITA E2,VIAS PUBLICAS
URBANIZACION LA FLORA E2,VIAS PUBLICAS
LOS PARQUES - BARRANQUILLA E5,VIAS PUBLICAS
PANAMERICANO E10,VIAS PUBLICAS
URBANIZACION LA MERCED E2,CASAS DE HABITACION
URBANIZACION LA MERCED E2,CASAS DE HABITACION
VEREDA CASCAJAL E22,CARRETERA
EL SENA E5,CENTRO COMERCIAL
CGTO OBANDO (ROZO),VIAS PUBLICAS
VIA TULUA-BUGA,VIAS PUBLICAS
ARROYOHONDO ZONA INDUSTRIAL (25-2),VIAS PUBLICAS
ZONA CENTRO,DISCOTECAS
CIUDADELA DEL NORTE,VIAS PUBLICAS
LA MADERA,VIAS PUBLICAS
LAS GRANJAS,VIAS PUBLICAS
CIUDADELA DEL NORTE,VIAS PUBLICAS
AUTOPISTA NORTE,FRENTE RESTAURANTE
VDA. PENHOLCITO,CARRETERA
EL TRIANON,VIAS PUBLICAS
ZONA CENTRO,VIAS PUBLICAS
CENTRAL MAYORISTA,VIAS PUBLICAS
LOS NARANJOS,VIAS PUBLICAS
SANTA MARIA # 2,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
CARLOS E. RESTREPO C-11,VIAS PUBLICAS
CARLOS E. RESTREPO C-11,VIAS PUBLICAS
GUAYAQUIL C-10,VIAS PUBLICAS
PARQUE NORTE C-4,VIAS PUBLICAS
PRADO C-10,VIAS PUBLICAS
ASTORGA C-14,VIAS PUBLICAS
CERRO EL VOLADOR C-7,PARADERO DE BUSES
EL POBLADO C-14,VIAS PUBLICAS
LAURELES C-11,VIAS PUBLICAS
PEDREGAL C-6,VIAS PUBLICAS
LA CANDELARIA C-10,PARQUES
TRICENTENARIO C-5,PARADERO DE BUSES
LA CANDELARIA C-10,VIAS PUBLICAS
SURAMERICANA C-11,VIAS PUBLICAS
LA CANDELARIA C-10,ESTACION DEL METRO
LA CANDELARIA C-10,VIAS PUBLICAS
DOCE DE OCTUBRE C-6,CASAS DE HABITACION
EL CHAGUALO C-10,VIAS PUBLICAS
ESTACION VILLA C-10,VIAS PUBLICAS
CRISTO REY C-15,VIAS PUBLICAS
BOLIVARIANA C-11,VIAS PUBLICAS
SECTOR CEMENTERIO,LOCAL COMERCIAL
SAN FRANCISCO,CENTRO COMERCIAL
EL PORVENIR,VIAS PUBLICAS
PARQUE PRINCIPAL,FRENTE A EDIFICIO - VIA PUBLICA
PRADOS DE SABANETA,VIAS PUBLICAS
EL LIMON,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
LA CENTRAL,VIAS PUBLICAS
LA PAZ,VIAS PUBLICAS
EL CORTEZ,CASAS DE HABITACION
EL ROSARIO,VIAS PUBLICAS
BARRIO LA NIEVES,VIAS PUBLICAS
BARRIO PARAISO,VIAS PUBLICAS
BARRIO CHIPRE,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
LAS MALVINAS,SOBRE ANDEN - VIA PUBLICA
EL CENTRO,LOCAL COMERCIAL
JUAN XXIII,SOBRE ANDEN - VIA PUBLICA
SAN JOSE,CASAS DE HABITACION
MARIA OCCIDENTE,VIAS PUBLICAS
URBANIZACION LOS COMUNEROS,VIAS PUBLICAS
LA ESMERALDA,VIAS PUBLICAS
CIUDAD JARDIN,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
SIMON BOLIVAR,VIAS PUBLICAS
SAN VICENTE,CLINICAS Y SIMILARES
SAN MARTIN,TRAMO DE VIA
AMERICAS,VIAS PUBLICAS
NINHO JESUS,SOBRE ANDEN - VIA PUBLICA
SANTA TERESA,VIAS PUBLICAS
SANTA TERESA,VIAS PUBLICAS
RISARALDA,CASAS DE HABITACION
RAFAEL NUNEZ E-13,VIAS PUBLICAS
EL TINTAL E-8,VIAS PUBLICAS
TEUSAQUILLO E-13,VIAS PUBLICAS
URB. COMPARTIR E-11,VIAS PUBLICAS
VILLAS DE GRANADA E-10,APARTAMENTO
DANUBIO AZUL E-5,VIAS PUBLICAS
MANDALAY I ETAPA E-8,INTERIOR VEHICULO SERVICIO PUBLICO
ISRAELITAS E-7,VIAS PUBLICAS
TEUSAQUILLO E-13,VIAS PUBLICAS
CONJUNTO RESIDENCIAL LA PRADERA E-1,VIAS PUBLICAS
LAS AMERICAS E-8,VIAS PUBLICAS
MARIA PAZ E-8,VIAS PUBLICAS
EL POA E-11,VIAS PUBLICAS
MANARU E-19,VIAS PUBLICAS
SUBA CENTRO E-11,VIAS PUBLICAS
CAOBOS E-1,VIAS PUBLICAS
RESTREPO E-15,VIAS PUBLICAS
RESTREPO E-15,PARQUEADERO
LA GRANJA E-10,VIAS PUBLICAS
VILLA LUZ E-10,VIAS PUBLICAS
CARVAJAL E-8,RESTAURANTES
GILMAR E-11,VIAS PUBLICAS
GUACAMAYAS I-II E-4,VIAS PUBLICAS
MONTEVIDEO E-9,INTERIOR VEHICULO SERVICIO PUBLICO
12 DE OCTUBRE E-12,VIAS PUBLICAS
BELLA SUIZA E-1,VIAS PUBLICAS
BOITA E-8,VIAS PUBLICAS
BOSA E-7,VIAS PUBLICAS
CENTRO NORTE USAQUEN E-1,VIAS PUBLICAS
CHICO I E-2,VIAS PUBLICAS
CIUDAD KENNEDY CENTRAL E-8,VIAS PUBLICAS
COUNTRY SUR E-18,VIAS PUBLICAS
EL ESPARTILLAL E-2,VIAS PUBLICAS
EL LAUREL E-10,CENTRO COMERCIAL
EL ROCIO E-3,VIAS PUBLICAS
EMAUS E-2,VIAS PUBLICAS
GALAN E-16,VIAS PUBLICAS
GALERIAS E-13,VIAS PUBLICAS
LA PATRIA E-12,CASAS DE HABITACION
LA VICTORIA E-4,VIAS PUBLICAS
LAGO GAITAN E-2,VIAS PUBLICAS
LOS NARANJOS ALTOS E-11,VIAS PUBLICAS
MINUTO DE DIOS E-10,VIAS PUBLICAS
PLAZA DE BOLIVAR E-17,VIAS PUBLICAS
POLO CLUB E-12,VIAS PUBLICAS
POTOSI E-11,VIAS PUBLICAS
PRIMAVERA NORTE E-10,VIAS PUBLICAS
PROVIVIENDA NORTE E-16,VIAS PUBLICAS
QUINTA PAREDES E-13,VIAS PUBLICAS
RESTREPO E-15,VIAS PUBLICAS
RICAURTE E-14,VIAS PUBLICAS
SANTA MATILDE I SECTOR E-16,VIAS PUBLICAS
TUNA ALTA E-11,VIAS PUBLICAS
URB. EL REMANSO E-16,VIAS PUBLICAS
URB. MADELENA I Y II SECTOR E-19,VIAS PUBLICAS
URB. MONTES I SECTOR E-16,VIAS PUBLICAS
URB. PUENTE ARANDA E-16,VIAS PUBLICAS
URB. RIONEGRO E-12,VIAS PUBLICAS
URB. SANTA RITA I SECTOR E-16,VIAS PUBLICAS
BONANZA E-10,VIAS PUBLICAS
CHAPINERO NORTE E-2,DISCOTECAS
ALAMOS SUR E-10,VIAS PUBLICAS
DIANA TURBAY E-18,VIAS PUBLICAS
SAN FERNANDO OCCIDENTAL E-12,VIAS PUBLICAS
SAN RAFAEL INDUSTRIAL E-16,VIAS PUBLICAS
URB. TOBERIN E-1,VIAS PUBLICAS
LA FAVORITA E-14,VIAS PUBLICAS
VILLA DE LOS ALPES E-4,VIAS PUBLICAS
TUNALITO E-6,PARQUES
FATIMA E-6,VIAS PUBLICAS
TEUSAQUILLO E-13,VIAS PUBLICAS
LAGO DE CHAPINERO E-2,VIAS PUBLICAS
URB. COMPARTIR E-11,VIAS PUBLICAS
URB. COMPARTIR E-11,VIAS PUBLICAS
SAGRADA FAMILIA E-4,VIAS PUBLICAS
GRAN GRANADA E-10,VIAS PUBLICAS
EL RINCON DE SUBA E-11,VIAS PUBLICAS
SAN ANTONIO E-15,VIAS PUBLICAS
DIANA TURBAY E-18,VIAS PUBLICAS
COUNTRY SUR E-18,VIAS PUBLICAS
SUCRE,VIAS PUBLICAS
GOMEZ DAZA,CASAS DE HABITACION
TRAMO DE VIA CUATROVIAS - MAICAO,TRAMO DE VIA
FORERO,VIAS PUBLICAS
ACROPOLIS,VIAS PUBLICAS
LIBERTADORES I ETAPA,"BARES, CANTINAS Y SIMILARES"
LIBERTADORES I ETAPA,DISCOTECAS
BAMBU,VIAS PUBLICAS
YAHAIRA,RODANDO SOBRE VIA - VIA PUBLICA
SAN FRANCISCO DE ASIS,VIAS PUBLICAS
LAS GRANJAS,VIAS PUBLICAS
QUIRINAL,VIAS PUBLICAS
ENCENILLO,FRENTE A RESIDENCIAS - VIA PUBLICA
LOS MARTIRES,VIAS PUBLICAS
VEREDA ANSELMO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
LA MILAGROSA,VIAS PUBLICAS
ALBORADA,VIAS PUBLICAS
LOS FUNDADORES,CASAS DE HABITACION
RODADERO TRADICIONAL,VIAS PUBLICAS
PINHON,CASAS DE HABITACION
LUIS CARLOS GALAN,VIAS PUBLICAS
MANZANARES,VIAS PUBLICAS
LA ESPERANZA,CASAS DE HABITACION
YUCAL 1-2,VIAS PUBLICAS
TIGRERA,VIAS PUBLICAS
SERRAMONTE,CASAS DE HABITACION
LA ROSITA,VIAS PUBLICAS
7 DE AGOSTO,VIAS PUBLICAS
OLIMPICO,CASAS DE HABITACION
BAMBU,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
AVENIDA PANAMERICANA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
ESTADIO LIBERTAD,FRENTE A RESIDENCIAS - VIA PUBLICA
CARACHA,VIAS PUBLICAS
CATAMBUCO CENTRO,VIAS PUBLICAS
RECUERDO,VIAS PUBLICAS
TAMASAGRA I,VIAS PUBLICAS
LA ROSA,RODANDO SOBRE VIA - VIA PUBLICA
BARRIO CHAPINERO,PELUQUERIA Y SIMILARES
BARRIO LAS AMERICAS,VIAS PUBLICAS
BARRIO SAN MIGUEL,VIAS PUBLICAS
BARRIO PRADOS DEL ESTE,VIAS PUBLICAS
BARRIO EL LLANO,VIAS PUBLICAS
CLARO DE LUNA,CONJUNTO RESIDENCIAL
CENTRO,TRANSPORTE PUBLICO
CENTRO,VIAS PUBLICAS
ZONA CENTRO,VIAS PUBLICAS
CENTRO (A) PEREIRA,APARTAMENTO
CENTRO (A) PEREIRA,APARTAMENTO
CENTRO (A) PEREIRA,APARTAMENTO
VDA. CONDINA-GUACARI,VIAS PUBLICAS
LA PAZ CENTRO,VIAS PUBLICAS
TURIN,INTERIOR VEHICULO SERVICIO PUBLICO
CUBA V-8,LOCAL COMERCIAL
SECTOR ZONA ROSA,VIAS PUBLICAS
JERUSALEN,VIAS PUBLICAS
JORGE ELIECER GAITAN,VIAS PUBLICAS
CIUDADELA REAL DE MINAS,VIAS PUBLICAS
PORTON DEL TEJAR,ALMACENES
LA CONCORDIA,ESCENARIOS DEPORTIVOS
LOS ANGELES,DENTRO DE LA VIVIENDA
CABECERA DEL LLANO,VIAS PUBLICAS
DON BOSCO,INTERIOR VEHICULO PARTICULAR
ALFONSO LOPEZ,FRENTE EMPRESA - VIA PUBLICA
SAN ALONSO,LOCAL COMERCIAL
SAN ALONSO,LOCAL COMERCIAL
CABECERA DEL LLANO,VIAS PUBLICAS
CASCO ANTIGUO DE FLORIDABLANCA,VIAS PUBLICAS
VILLACOLOMBIA E8,VIAS PUBLICAS
CAMPANAZO,VIAS PUBLICAS
PUERTA ROJA,VIAS PUBLICAS
CIUDAD JARDIN,CASAS DE HABITACION
MOCHILA,VIAS PUBLICAS
PICALENHA,VIAS PUBLICAS
TERRAZAS DEL TEJAR,CASAS DE HABITACION
JORDAN IX ETAPA,CASAS DE HABITACION
ARKANIZA,LOCAL COMERCIAL
GAITAN PARTE ALTA,VIAS PUBLICAS
INDEPENDENCIA,VIAS PUBLICAS
LOS PARQUES - BARRANQUILLA E5,SEMAFORO
SAN MARINO E7,VIAS PUBLICAS
CHIPICHAPE E2,LOCAL COMERCIAL
LA MERCED E3,VIAS PUBLICAS
SAN PEDRO E3,VIAS PUBLICAS
SIETE DE AGOSTO E7,VIAS PUBLICAS
DIAMANTE E13,TRANSPORTE PUBLICO
ALFONSO B. ARAGON E14,VIAS PUBLICAS
TORRES DE CONFANDI E5,VIAS PUBLICAS
PAMPA LINDA E19,VIAS PUBLICAS
CIUDAD 2000 E16,VIAS PUBLICAS
LAS ORQUIDEAS E14,VIAS PUBLICAS
CIUDAD TALANGA E21,VIAS PUBLICAS
LA MERCED E3,VIAS PUBLICAS
NORMANDIA E2,APARTAMENTO
CENTRO,VIAS PUBLICAS
URB. EL BOSQUE,VIAS PUBLICAS
URB. EL BOSQUE,APARTAMENTO
ALFONSO LOPEZ,VIAS PUBLICAS
CENTRO,LOCAL COMERCIAL
NIQUIA CAMACOL,VIAS PUBLICAS
LA ESTACION,ESTACION DEL METRO
SALENTO,VIAS PUBLICAS
CIUDAD NIQUIA,VIAS PUBLICAS
CIUDAD NIQUIA,VIAS PUBLICAS
ZAMORA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
ALTOS DE SAN JUAN,VIAS PUBLICAS
LAS VEGAS,VIAS PUBLICAS
LA MARIA,FINCAS Y SIMILARES
LA CHARANGA,VIAS PUBLICAS
SAN FERNANDO,VIAS PUBLICAS
EL DANUBIO C-12,VIAS PUBLICAS
LA AMERICA C-12,VIAS PUBLICAS
MANILA C-14,VIAS PUBLICAS
EL POBLADO C-14,"BARES, CANTINAS Y SIMILARES"
LA CANDELARIA C-10,LOCAL COMERCIAL
NARANJAL C-11,VIAS PUBLICAS
NARANJAL C-11,VIAS PUBLICAS
EL POBLADO C-14,VIAS PUBLICAS
EL POBLADO C-14,VIAS PUBLICAS
BOLIVARIANA C-11,CASAS DE HABITACION
EL DIAMANTE 2 C-14,APARTAMENTO
SAN ANTONIO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
EL TABOR,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
MALECON,VIAS PUBLICAS
LA BOQUILLA,VIAS PUBLICAS
NARINHO,VIAS PUBLICAS
BARRIO BOSQUES DEL NORTE,VIAS PUBLICAS
FUNDADORES,VIAS PUBLICAS
SAN ANTONIO,VIAS PUBLICAS
SAN ANTONIO,VIAS PUBLICAS
LA FLORIDA,VIAS PUBLICAS
LAS AVENIDAS,VIAS PUBLICAS
EL MIRADOR,CASAS DE HABITACION
LAS AVENIDAS,LOCAL COMERCIAL
  INSPOLICIA LA ESMERALDA,CARRETERA
LAS FERIAS,VIAS PUBLICAS
EL GAVAN,VIAS PUBLICAS
VILLAS DEL CHAVINAVE,CASAS DE HABITACION
VILLAS DEL CHAVINAVE,CASAS DE HABITACION
CENTRO,VIAS PUBLICAS
LAS BRISAS,CASAS DE HABITACION
LA ESMERALDA,"BARES, CANTINAS Y SIMILARES"
PARQUE LAS GARZAS,VIAS PUBLICAS
URB. EL ROCIO,VIAS PUBLICAS
VILLA JAIDITH,VIAS PUBLICAS
CORAZON DE MARIA,VIAS PUBLICAS
ROMA,SOBRE ANDEN - VIA PUBLICA
PLAYITA,VIAS PUBLICAS
MATEO GOMEZ,FINCAS Y SIMILARES
LA LUCHA,VIAS PUBLICAS
SAN FRANCISCO,ESTADERO
MONTERIA MODERNO,VIAS PUBLICAS
LAS FERIAS E-10,"HOTELES, RESIDENCIAS, Y SIMILARES."
URB. SURAMERICANA E-4,VIAS PUBLICAS
OLARTE E-7,VIAS PUBLICAS
QUESADA E-13,VIAS PUBLICAS
LAS FLORES E-11,VIAS PUBLICAS
EL TUNAL II E-6,VIAS PUBLICAS
SANTA TERESITA E-13,VIAS PUBLICAS
QUINTA PAREDES E-13,VIAS PUBLICAS
EL RINCON E-11,VIAS PUBLICAS
URB. MAZUREN I SECTOR E-11,ALMACENES
LA ESTANCIA E-7,VIAS PUBLICAS
MODELIA E-9,VIAS PUBLICAS
URB. RIONEGRO E-12,VIAS PUBLICAS
TAIRONA  E-8,VIAS PUBLICAS
LA ESPERANZA E-9,VIAS PUBLICAS
SANTA LIBRADA E-5,INTERIOR VEHICULO SERVICIO PUBLICO
ESTACION CENTRAL E-16,VIAS PUBLICAS
LA SERENA E-10,RODANDO SOBRE VIA - VIA PUBLICA
URB. LA INDEPENDENCIA E-3,VIAS PUBLICAS
EL RECUERDO E-13,VIAS PUBLICAS
BRAVO PAEZ E-18,VIAS PUBLICAS
SAN MARTIN E-3,VIAS PUBLICAS
SAN ANDRES   E-8,VIAS PUBLICAS
BELLAVISTA E-8,SOBRE ANDEN - VIA PUBLICA
ANTIGUO COUNTRY E-2,LOCAL COMERCIAL
CENTENARIO E-9,CASAS DE HABITACION
CIUDAD DE CALI E-8,VIAS PUBLICAS
CHAPINERO CENTRAL E-2,SOBRE ANDEN - VIA PUBLICA
CHAPINERO CENTRAL E-2,SOBRE ANDEN - VIA PUBLICA
BONANZA E-10,SOBRE ANDEN - VIA PUBLICA
GRAN BRITALIA E-8,VIAS PUBLICAS
LAS AGUAS E-3,VIAS PUBLICAS
LOS NARANJOS E-11,VIAS PUBLICAS
LAS MARGARITAS E-7,VIAS PUBLICAS
SANTA INES E-3,VIAS PUBLICAS
LA CABRERA E-2,VIAS PUBLICAS
LA CABRERA E-2,VIAS PUBLICAS
CIUDAD DE CALI E-8,VIAS PUBLICAS
URB. INDUSTRIAL PENSILVANIA E-16,ESTACION TRANSMILENIO ZONA INDUSTRIAL
LA PALESTINA E-7,VIAS PUBLICAS
NAVARRA E-1,VIAS PUBLICAS
NORMANDIA E-10,ALMACENES
PREDIO AV BOYACA E-11,CENTRO COMERCIAL
PATIO BONITO I E-8,VIAS PUBLICAS
SAN JORGE - GLORIA GAITAN E-18,VIAS PUBLICAS
ABRAHAM LINCON E-6,VIAS PUBLICAS
TRES ESQUINAS E-19,VIAS PUBLICAS
PASADENA ROYAL E-11,VIAS PUBLICAS
LA CONCEPCION,FRENTE A RESIDENCIAS - VIA PUBLICA
BOSQUE,VIAS PUBLICAS
ARRIBA,FRENTE A RESIDENCIAS - VIA PUBLICA
EUDES,VIAS PUBLICAS
ZONA INDUSTRIAL,CASAS DE HABITACION
ZONA INDUSTRIAL,CASAS DE HABITACION
ZONA INDUSTRIAL,CASAS DE HABITACION
ZONA INDUSTRIAL,CASAS DE HABITACION
LOS ANDAQUIES,VIAS PUBLICAS
CHAPINERO,VIAS PUBLICAS
MANSIONES DEL NORTE,CASAS DE HABITACION
CENTRO,"COLEGIOS, ESCUELAS"
VEREDA GUACACALLO,CASAS DE HABITACION
VEREDA GUACACALLO,CASAS DE HABITACION
GAIRA CENTRO,VIAS PUBLICAS
TAIRONA 1-2,VIAS PUBLICAS
TAIRONA 1-2,VIAS PUBLICAS
SANTA CRUZ,VIAS PUBLICAS
MARIA EUGENIA,VIAS PUBLICAS
CENTRO HISTORICO,VIAS PUBLICAS
RODADERO TRADICIONAL,PLAYA
ZONA MERCADO,VIAS PUBLICAS
VILLA CUMARE,FRENTE IGLESIA - VIA PUBLICA
EL RETIRO,VIAS PUBLICAS
PORFIA,VIAS PUBLICAS
MONTECARLO,VIAS PUBLICAS
RODEO,VIAS PUBLICAS
RECREO,CASAS DE HABITACION
EL PRADO,VIAS PUBLICAS
NUEVO RICAUTE,CASAS DE HABITACION
INDUSTRIAL,VIAS PUBLICAS
CENTRO,LOCAL COMERCIAL
CORREGIMIENTO SAN JUAN,INTERIOR VEHICULO PARTICULAR
CGTO. ALTO DE DAZA,VIAS PUBLICAS
BARRIO CENTRO,VIAS PUBLICAS
BARRIO CRISTO REY,VIAS PUBLICAS
LOS PRADOS,CASAS DE HABITACION
LOS ALAMOS,CASAS DE HABITACION
PARAISO,VIAS PUBLICAS
EL BOHIO,APARTAMENTO
VDA. LA FLORIDA,CANCHA DE FUTBOL
CENTRO CUBA V-1,VIAS PUBLICAS
LA VICTORIA,VIAS PUBLICAS
GALAN GOMEZ,VIAS PUBLICAS
INTERNACIONAL,VIAS PUBLICAS
ALARCON,VIAS PUBLICAS
PROVENZA,VIAS PUBLICAS
SAN ALONSO,CASAS DE HABITACION
SAN ALONSO,CASAS DE HABITACION
URB. HEROES,VIAS PUBLICAS
CAMPO HERMOSO,VIAS PUBLICAS
CAFE MADRID,INTERIOR VEHICULO SERVICIO PUBLICO
LA AURORA,"BARES, CANTINAS Y SIMILARES"
LAS VILLAS,FRENTE A RESIDENCIAS - VIA PUBLICA
CENTRO,CASAS DE HABITACION
CENTRO,VIAS PUBLICAS
MAGDALENA,VIAS PUBLICAS
BALCANES,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
ALASKA,VIAS PUBLICAS
APARCO SAN FRANCISCO,CASAS DE HABITACION
CENTRO,CASAS DE HABITACION
VILLA SOFIA,CASAS DE HABITACION
EL CAMBIO,CASAS DE HABITACION
CGTO LA VORAGINE E22,VIAS PUBLICAS
CGTO LA VORAGINE E22,VIAS PUBLICAS
CGTO LA VORAGINE E22,VIAS PUBLICAS
CGTO LA VORAGINE E22,VIAS PUBLICAS
EL LIMONAR E17,VIAS PUBLICAS
LOS LAGOS E13,VIAS PUBLICAS
JOSE M. MARROQUIN II E14,VIAS PUBLICAS
CIUDADELA CONFANDI E17,VIAS PUBLICAS
TERRON COLORADO E1,PUENTE PEATONAL
CIUDAD CAPRI E17,VIAS PUBLICAS
FEPICOL E7,VIAS PUBLICAS
LLANO VERDE E15,VIAS PUBLICAS
EL RETIRO E15,VIAS PUBLICAS
SUCRE E9,VIAS PUBLICAS
LOS ALCAZARES E6,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
SAN NICOLAS,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
LA CABANHA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
AUTOPISTA NORTE,VIAS PUBLICAS
MARIA AUXILIADORA,OFICINAS
SANTA MARIA # 2,VIAS PUBLICAS
LA AGUACATALA C-14,UNIVERSIDADES
CARIBE C-5,VIAS PUBLICAS
LAS PALMAS C-10,VIAS PUBLICAS
PARQUE NORTE C-4,VIAS PUBLICAS
VILLANUEVA C-10,INTERIOR VEHICULO SERVICIO PUBLICO
SAN DIEGO C-10,VIAS PUBLICAS
TRICENTENARIO C-5,VIAS PUBLICAS
ENCISO C-8,VIAS PUBLICAS
LA CANDELARIA C-10,INTERIOR VEHICULO PARTICULAR
FUENTE CLARA C-7,VIAS PUBLICAS
LA FLORESTA C-12,VIAS PUBLICAS
CASTILLA C-5,INTERIOR VEHICULO SERVICIO PUBLICO
LAURELES C-11,VIAS PUBLICAS
SANTA MONICA C-12,VIAS PUBLICAS
SAN MIGUEL C-8,VIAS PUBLICAS
BARRIO COLON C-10,VIAS PUBLICAS
LA HONDONADA C-16,VIAS PUBLICAS
LAS ACACIAS C-11,VIAS PUBLICAS
LA CANDELARIA C-10,CASINOS
LA BALSORA,CASAS DE HABITACION
LA CUCHILLA,FINCAS Y SIMILARES
EL PARQUE PRINCIPAL,CASAS DE HABITACION
SAN NICOLAS,LOCAL COMERCIAL
REBOLO,VIAS PUBLICAS
LOS TRUPILLOS,VIAS PUBLICAS
POR FIN,VIAS PUBLICAS
LA SIERRITA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
VILLA SAN PEDRO 1,VIAS PUBLICAS
GARDENIAS,VIAS PUBLICAS
LA INMACULADA,VIAS PUBLICAS
EL PARQUE,VIAS PUBLICAS
LA BOQUILLA,PLAYA
LA BOQUILLA,PLAYA
BARRIO LOS CRISTALES,UNIVERSIDADES
GALERIAS,VIAS PUBLICAS
BARRIO CHIPRE,CASAS DE HABITACION
ALTA SUIZA,VIAS PUBLICAS
BARRIO LA PALMA,CASAS DE HABITACION
BARRIO EL CAMPIN,VIAS PUBLICAS
LOS LIBERTADORES,VIAS PUBLICAS
EL VENADO,VIAS PUBLICAS
MONTECARLO,VIAS PUBLICAS
CENTRO,OFICINAS
BELALCAZAR,VIAS PUBLICAS
SAN CAMILO,VIAS PUBLICAS
EL PLACER,VIAS PUBLICAS
VILLA GARCIA,VIAS PUBLICAS
COR.VILLA DE SAN ANDRES,CARRETERA
SAN FRANCISCO,VIAS PUBLICAS
SIMON BOLIVAR,VIAS PUBLICAS
25 DE DICIEMBRE,VIAS PUBLICAS
LA NEVADA,CASAS DE HABITACION
LAS FLORES,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
EL ORIENTE,VIAS PUBLICAS
EL ALIVIO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
CENTRO,FRENTE A RESIDENCIAS - VIA PUBLICA
SANTA BARBARA CENTRAL E-1,VIAS PUBLICAS
LAS NIEVES E-3,VIAS PUBLICAS
URB. MIRANDELA E-11,VIAS PUBLICAS
ABRAHAM LINCON E-6,VIAS PUBLICAS
URB. LAS LOMAS E-18,VIAS PUBLICAS
SANTA TERESITA E-13,ESTACION TRANSMILENIO CALLE 45
GLORIA LARA DE ECHEVERRY II ETAPA E-11,PARQUES
VERACRUZ E-3,VIAS PUBLICAS
VILLA LUZ E-10,VIAS PUBLICAS
CHICO NORTE II SECTOR E-1,VIAS PUBLICAS
LAS VILLAS I SECTOR E-11,VIAS PUBLICAS
PUENTE LARGO E-11,VIAS PUBLICAS
SAN VICTORINO E-3,VIAS PUBLICAS
LA ESTANCIA E-19,VIAS PUBLICAS
QUIROGA IHS ETAPA E-18,VIAS PUBLICAS
TOBERIN ORIENTAL E-1,VIAS PUBLICAS
PATIO BONITO I E-8,VIAS PUBLICAS
MARLY E-2,VIAS PUBLICAS
RESTREPO E-15,VIAS PUBLICAS
LA MAGDALENA E-13,ESTACION TRANSMILENIO AV. 39
ALAMOS SUR E-10,VIAS PUBLICAS
LOS PIJAOS E-18,VIAS PUBLICAS
LAS PALMITAS E-8,VIAS PUBLICAS
LAS COLINAS E-18,VIAS PUBLICAS
PRADO VERANIEGO E-11,VIAS PUBLICAS
EL AMPARO E-8,VIAS PUBLICAS
OLAYA E-18,VIAS PUBLICAS
CLARET E-18,VIAS PUBLICAS
LIBERTADOR SUR E-18,VIAS PUBLICAS
PRIMAVERA II E-19,VIAS PUBLICAS
NUEVO KENNEDY E-8,VIAS PUBLICAS
EL RETIRO E-2,VIAS PUBLICAS
SAN FELIPE E-12,VIAS PUBLICAS
CHAPINERO CENTRAL E-2,LOCAL COMERCIAL
PINO ALTO E-11,VIAS PUBLICAS
TOBERIN ORIENTAL E-1,VIAS PUBLICAS
MODELO SUR E-4,VIAS PUBLICAS
CANDELARIA LA NUEVA I SECTOR E-19,VIAS PUBLICAS
SAN VICTORINO E-3,VIAS PUBLICAS
SANTA ANA OCCIDENTAL E-1,VIAS PUBLICAS
