MUNICIPIO,BARRIO
CALI (CT),VERSALLES E2
CALI (CT),CIUDAD CAPRI E17
CALI (CT),LOS LAGOS E13
CALI (CT),PRADOS DEL NORTE E2
CALI (CT),CGTO LA VORAGINE E22
CALI (CT),PRADOS DEL NORTE E2
CALI (CT),LOS LAGOS E13
CALI (CT),VALLE GRANDE E21
CALI (CT),VILLA DEL LAGO E13
PALMIRA,ALTAMIRA
PALMIRA,CENTRAL
PALMIRA,LAS FLORES
PUERTO CARRENHO (CT),CAMILO CORTEZ
LETICIA (CT),MARCELIANO CANYES
ABEJORRAL,EL CAUNZAL
APARTADO,MANZANAREZ
BELLO,CIUDADELA DEL NORTE
BELLO,CIUDADELA DEL NORTE
BELLO,CIUDADELA DEL NORTE
CHIGORODO,BRISAS DE URABA
ENVIGADO,LA MINA
ENVIGADO,SAN JOSE
ITAGUI,CENTRO
ITAGUI,TRIANA
ITAGUI,SANTA MARIA # 3
LA ESTRELLA,EL DORADO
MEDELLIN (CT),SEVILLA  C-4
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),JARDIN BOTANICO  C-4
MEDELLIN (CT),LOS CERROS EL VERGEL  C-9
MEDELLIN (CT),ASTORGA C-14
MEDELLIN (CT),LA FRANCIA  C-2
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),VILLANUEVA C-10
MEDELLIN (CT),LOS PINOS C-12
MEDELLIN (CT),ESTACION VILLA C-10
MEDELLIN (CT),CORDOBA C-7
MEDELLIN (CT),VILLANUEVA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),EL POBLADO C-14
MEDELLIN (CT),ROSALES C-16
BARRANQUILLA (CT),DON BOSCO
BARRANQUILLA (CT),SAN ROQUE
BARRANQUILLA (CT),EL RECREO
BARRANQUILLA (CT),CENTRO
BARRANQUILLA (CT),SILENCIO
BARRANQUILLA (CT),CENTRO
BARRANQUILLA (CT),REBOLO
BARRANQUILLA (CT),CIUDADELA 20 DE JULIO
CHIQUINQUIRA,BARRIO BOYACA ALTO
DUITAMA,SANTANDER
DUITAMA,BARRIO CENTRO
DUITAMA,SEVILLA
TUNJA (CT),VILLA UNIVERSITARIA
TUNJA (CT),CENTRO
LA DORADA,VDA PURNIO
MANIZALES (CT),SECTOR EL CABLE
MANIZALES (CT),SECTOR EL CABLE
MANIZALES (CT),CENTRO
MANIZALES (CT),SECTOR BELLAS ARTES
MANIZALES (CT),CENTRO
MANIZALES (CT),SECTOR EL CABLE
MANIZALES (CT),CENTRO
MANIZALES (CT),CENTRO
MANIZALES (CT),SECTOR EL CABLE
MANIZALES (CT),SECTOR EL CABLE
FLORENCIA (CT),EL RAICERO
FLORENCIA (CT),VILLAMONICA
FLORENCIA (CT),EL CENTRO
FLORENCIA (CT),VILLA MARIA
AGUAZUL,LUIS MARIA JIMENEZ
YOPAL (CT),HOBO
YOPAL (CT),LOS ALMENDROS
YOPAL (CT),LOS ALMENDROS
POPAYAN (CT),URBANIZACION PERPETUO SOCORRO
BECERRIL,VEREDA
VALLEDUPAR (CT),GALAN
VALLEDUPAR (CT),URB. LA RIVIERA
MONTERIA (CT),CHUCHURUBI
AGUA DE DIOS,SIMON BOLIVAR
BOGOTA D.C. (CT),LA ESTRADA E-10
BOGOTA D.C. (CT),LOS CEDRITOS E-1
BOGOTA D.C. (CT),LA CAPUCHINA E-3
BOGOTA D.C. (CT),RESTREPO E-15
BOGOTA D.C. (CT),LA GIRALDA E-9
BOGOTA D.C. (CT),LAGO GAITAN E-2
BOGOTA D.C. (CT),LAS DELICIAS   E-8
BOGOTA D.C. (CT),NIZA XII E-11
BOGOTA D.C. (CT),SANTA MATILDE I SECTOR E-16
BOGOTA D.C. (CT),SAMPER E-3
BOGOTA D.C. (CT),BOSQUE CALDERON E-2
BOGOTA D.C. (CT),POLO CLUB E-12
BOGOTA D.C. (CT),SANTA ISABEL E-14
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),SAN ANTONIO E-15
BOGOTA D.C. (CT),CHICO I E-2
BOGOTA D.C. (CT),EL CENTENARIO E-18
BOGOTA D.C. (CT),TINTAL    E-8
BOGOTA D.C. (CT),VILLA DEL RINCON E-11
BOGOTA D.C. (CT),CENTRO ANTONIO NARINHO E-13
BOGOTA D.C. (CT),VENECIA E-6
BOGOTA D.C. (CT),QUIROGA IHS ETAPA E-18
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),URB. MANUELA BELTRAN E-19
BOGOTA D.C. (CT),URB. LA PUERTA DEL SOL E-11
BOGOTA D.C. (CT),CHICO I E-2
BOGOTA D.C. (CT),MARIA PAZ E-8
BOGOTA D.C. (CT),CHICO NAVARRA E-1
BOGOTA D.C. (CT),URB. CLARET EL CARMEN E-6
BOGOTA D.C. (CT),MARIA PAZ E-8
BOGOTA D.C. (CT),LAS MARGARITAS E-8
BOGOTA D.C. (CT),QUIROGA VII ETAPA E-18
FUSAGASUGA,GALAN
SOACHA,CENTRO
SAN JOSE DEL GUAVIARE (CT),BARRIO LA ESPERANZA
NEIVA (CT),URBANIZACION EL TESORO
NEIVA (CT),URBANIZACION EL TESORO
NEIVA (CT),SAN FRANCISCO DE ASIS
NEIVA (CT),SAN FRANCISCO DE ASIS
NEIVA (CT),RAFAEL AZUERO MANCHOLA
PITALITO,SUCRE
PITALITO,LOS PINOS
SANTA MARTA (CT),TEYUNA
SANTA MARTA (CT),DON DIEGO
SANTA MARTA (CT),CENTRO
SANTA MARTA (CT),RODADERO TRADICIONAL
PUERTO LOPEZ,CENTRO
VILLAVICENCIO (CT),VEREDA BARCELONA
VILLAVICENCIO (CT),COMUNEROS
VILLAVICENCIO (CT),LA ESPERANZA VII ETAPA
VILLAVICENCIO (CT),CAUDAL ORIENTAL
VILLAVICENCIO (CT),PORVENIR
VILLAVICENCIO (CT),CAMINO REAL
VILLAVICENCIO (CT),GUATIQUIA
VILLAVICENCIO (CT),MONTECARLO
IPIALES,20 DE JULIO
IPIALES,YERBABUENA
IPIALES,AVENIDA PANAMERICANA
IPIALES,CENTRO
IPIALES,CRUZ VERDE
IPIALES,CRUZ VERDE
IPIALES,OBRERO
IPIALES,AVENIDA PANAMERICANA
PASTO (CT),LORENZO
PASTO (CT),MARILUZ
PASTO (CT),MIRAFLORES I
PASTO (CT),LA AURORA
PASTO (CT),CHAPAL
CUCUTA (CT),BARRIO QUINTA VELEZ
CUCUTA (CT),BARRIO SANTO DOMINGO
CUCUTA (CT),BARRIO LATINO
CUCUTA (CT),BARIO LA RIVIERA
LOS PATIOS,BARRIO PATIO CENTRO
OCANHA,BARRIO SAN AGUSTIN
OCANHA,BARRIO SAN AGUSTIN
MOCOA (CT),CENTRO
ARMENIA (CT),MONTEVIDEO
CALARCA,ZONA CENTRO
PEREIRA (CT),PINARES DE SAN MARTIN
PEREIRA (CT),JARDIN I
PEREIRA (CT),OLAYA HERRERA
PEREIRA (CT),PRIMERO DE FEBRERO 1
PEREIRA (CT),SECTOR VIADUCTO
PEREIRA (CT),SECTOR PLAZA DE BOLIVAR
PEREIRA (CT),LA ISLA (V/SANTANA)
SANTA ROSA DE CABAL,B. SAN VICENTE DE PAUL
SANTA ROSA DE CABAL,B. SAN VICENTE DE PAUL
BARRANCABERMEJA,SANTA ANA
BARRANCABERMEJA,GALAN GOMEZ
BARRANCABERMEJA,VILLARELIS III
BUCARAMANGA (CT),CABECERA DEL LLANO
BUCARAMANGA (CT),CABECERA DEL LLANO
BUCARAMANGA (CT),CENTRO
BUCARAMANGA (CT),TRANSICION IV
BUCARAMANGA (CT),ANTIGUO CAMPESTRE
BUCARAMANGA (CT),DANGOND
BUCARAMANGA (CT),LA CONCORDIA
FLORIDABLANCA,LAGOS I
FLORIDABLANCA,LAGOS I
GIRON,ANILLO VIAL
SAN BENITO ABAD,VILLA MERLANO
SAN MARCOS,CENTRO
SINCELEJO (CT),URB. LAS COLINAS
SINCELEJO (CT),URB. LAS COLINAS
SINCELEJO (CT),FLORENCIA
SINCELEJO (CT),LA MANO DE DIOS
SINCELEJO (CT),URB. LOS TEJARES
CHAPARRAL,CARMENZA ROCHA
CHAPARRAL,CARMENZA ROCHA
GUAMO,CENTRO
IBAGUE (CT),CENTRO
IBAGUE (CT),EL CARMEN
IBAGUE (CT),LAS PALMERAS (URB.)
IBAGUE (CT),LAURELES
IBAGUE (CT),PRADOS DEL NORTE
IBAGUE (CT),JORDAN III ETAPA
PURIFICACION,LA MIEL
ROVIRA,CENTRO
ALCALA,EL CENTRO
CALI (CT),EL POBLADO II E13
CALI (CT),JOSE M. MARROQUIN II E14
CALI (CT),JOSE M. MARROQUIN II E14
CALI (CT),LAS DELICIAS E4
CALI (CT),LOS GUADUALES E6
CALI (CT),CALIMIO DESEPAZ E21
CALI (CT),CIUDAD CAPRI E17
CALI (CT),CIUDAD CAPRI E17
CALI (CT),COMPARTIR E21
CALI (CT),VENEZ - URB. CANHAVER E20
CALI (CT),BASE AEREA E7
CALI (CT),MARIANO RAMOS E16
CALI (CT),EL CEDRO E19
CALI (CT),PUERTO MALLARINO E7
CALI (CT),PRADOS DEL NORTE E2
CALI (CT),COLSEGUROS ANDES E10
CANDELARIA,VIA CALI CANDELARIA (23-S-6-1)
GUADALAJARA DE BUGA,EL CARMELO
YUMBO,BOLIVAR E25
LETICIA (CT),JOSE MARIA HERNANDEZ
CISNEROS,SAN GERMAN
ITAGUI,ZONA INDUSTRIAL #1
MARINILLA,CAROLINA
MEDELLIN (CT),LAS PLAYAS C-16
MEDELLIN (CT),GUAYAQUIL C-10
MEDELLIN (CT),JESUS NAZARENO C-10
MEDELLIN (CT),CASTILLA C-5
MEDELLIN (CT),CASTILLA C-5
MEDELLIN (CT),SANTA FE C-15
MEDELLIN (CT),ESTADIO C-11
MEDELLIN (CT),LA MOTA C-16
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),MANILA C-14
MEDELLIN (CT),UINIVERSIDAD DE ANTIOQUIA  C-4
MEDELLIN (CT),FLORENCIA C-5
MEDELLIN (CT),LAS PALMAS C-10
MEDELLIN (CT),LAS INDEPENDENCIAS C-13
MEDELLIN (CT),EL POBLADO C-14
MEDELLIN (CT),ESTACION VILLA C-10
MEDELLIN (CT),BARRIO COLOMBIA C-14
MEDELLIN (CT),EL CHAGUALO C-10
MEDELLIN (CT),LA FLORESTA C-12
MEDELLIN (CT),KENNEDY C-6
MEDELLIN (CT),ESTACION VILLA C-10
SABANETA,SANTA ANA
BARRANQUILLA (CT),LA PRADERA
BARRANQUILLA (CT),GRANADILLO
BARRANQUILLA (CT),SANTO DOMINGO DE GUZMAN
BARRANQUILLA (CT),VILLA SANTOS
BARRANQUILLA (CT),EL SANTUARIO
BARRANQUILLA (CT),VILLA SANTOS
SOLEDAD,EL RIO
CARTAGENA (CT),GETSEMANI
MORALES (BOLIVAR),EL PROGRESO
MORALES (BOLIVAR),EL PROGRESO
MORALES (BOLIVAR),EL PROGRESO
DUITAMA,PLAZA PRINCIPAL LOS LIBERTADORES
DUITAMA,BARRIO CENTRO
TUNJA (CT),BARRIO EL TOPO
LA DORADA,CENTRO
LA DORADA,CENTRO
MANIZALES (CT),GUAYACANES
MANIZALES (CT),BARRIO CHIPRE
MANIZALES (CT),CENTRO
MANIZALES (CT),SECTOR COLEGIO INEM
MANIZALES (CT),FUNDADORES
RIOSUCIO,CENTRO
RIOSUCIO,NUEVA GRANADA
RIOSUCIO,CENTRO
RIOSUCIO,SECTOR PARQUE SAN SEBASTIAN
VILLAMARIA,ALTOS DE MOLINO
MANI,EL VISO
POPAYAN (CT),CENTRO
SILVIA,CENTRO
VALLEDUPAR (CT),PONTEVEDRA
VALLEDUPAR (CT),CIUDADELA 450 ANHOS
QUIBDO (CT),LAS MARGARITAS
QUIBDO (CT),MINUTO DE DIOS
LORICA,ALTO KENNEDY
MONTERIA (CT),LA FLORESTA
BOGOTA D.C. (CT),LA FLORIDA E-10
BOGOTA D.C. (CT),BACHUE E-10
BOGOTA D.C. (CT),LAS AGUAS E-17
BOGOTA D.C. (CT),ROSALES E-2
BOGOTA D.C. (CT),SAN VICTORINO E-14
BOGOTA D.C. (CT),LAS NIEVES E-3
BOGOTA D.C. (CT),RINCON VILLA MAYOR E-6
BOGOTA D.C. (CT),MARLY E-2
BOGOTA D.C. (CT),RINCON DE LOS ANGELES  E-8
BOGOTA D.C. (CT),EL TINTAL E-9
BOGOTA D.C. (CT),MONTEVIDEO E-9
BOGOTA D.C. (CT),OLAYA E-18
BOGOTA D.C. (CT),URB. CATALINA E-8
BOGOTA D.C. (CT),GUSTAVO RESTREPO E-18
BOGOTA D.C. (CT),AURES II E-11
BOGOTA D.C. (CT),BOSQUE POPULAR E-10
BOGOTA D.C. (CT),CIUDAD KENNEDY OCC E-8
BOGOTA D.C. (CT),LOS PERIODISTAS E-8
BOGOTA D.C. (CT),LA INDEPENDENCIA E-7
BOGOTA D.C. (CT),SAN CRISTOBAL E-4
BOGOTA D.C. (CT),OLARTE E-7
BOGOTA D.C. (CT),LA SOLEDAD E-13
BOGOTA D.C. (CT),EL NEVADO E-5
BOGOTA D.C. (CT),GALERIAS E-13
BOGOTA D.C. (CT),LA PERLA E-5
BOGOTA D.C. (CT),RICAURTE E-14
BOGOTA D.C. (CT),SIDAUTO E-10
BOGOTA D.C. (CT),CARVAJAL E-8
BOGOTA D.C. (CT),URB. LA CHUCUA E-8
FUSAGASUGA,SANTANDER
SIBATE,EL PROGRESO
FONSECA,EL RETIRO
MAICAO,CENTRO
NEIVA (CT),SUR ORIENTALES
NEIVA (CT),ACACIAS ETAPA II
NEIVA (CT),VILLA CAROLINA
SANTA MARTA (CT),RODADERO SUR
SANTA MARTA (CT),13 DE JUNIO
SANTA MARTA (CT),TENERIA
SANTA MARTA (CT),SAN FRANCISCO
SANTA MARTA (CT),LAS VEGAS
SANTA MARTA (CT),BULEVAR LA 19
SANTA MARTA (CT),CENTRO HISTORICO
PUERTO GAITAN,EL MANACACIAS
VILLAVICENCIO (CT),VILLA JULIA
VILLAVICENCIO (CT),VEREDA VANGUARDIA
VILLAVICENCIO (CT),VILLA JULIA
VILLAVICENCIO (CT),OLIMPICO
VILLAVICENCIO (CT),7 DE AGOSTO
VILLAVICENCIO (CT),SAN BENITO
VILLAVICENCIO (CT),EL BUQUE
VILLAVICENCIO (CT),ARIGUANI
VILLAVICENCIO (CT),VILLA MARIA
IPIALES,AVENIDA PANAMERICANA
IPIALES,BALCONES DE LA FRONTERA
IPIALES,CHAMBU
IPIALES,LOS CHILCOS
IPIALES,AVENIDA PANAMERICANA
PASTO (CT),LA RIVERA
PASTO (CT),SAN IGNACIO
PASTO (CT),CHAPAL
PASTO (CT),PLAZA DEL CARNAVAL
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),AV. ESTUDIANTES
PASTO (CT),CENTRO
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),AV. CHAMPAGNAT
PASTO (CT),CENTRO
PASTO (CT),CENTRO
PASTO (CT),SANTA MONICA
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),SAN JUAN BOSCO
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),CENTRO
PASTO (CT),NIZA II
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),JULIAN BUCHELI
PASTO (CT),JULIAN BUCHELI
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),BACHUE
TUQUERRES,SIMON BOLIVAR
CUCUTA (CT),BARRIO PRADOS DEL NORTE
CUCUTA (CT),BARRIO CERRO PICO
CUCUTA (CT),BARRIO LATINO
CUCUTA (CT),BARRIO CENTRO
LOS PATIOS,BARRIO VIDELSO
PUERTO ASIS,EL CENTRO
ARMENIA (CT),BOSQUES DE PALERMO
CALARCA,ECOMAR
DOSQUEBRADAS,BOMBAY
DOSQUEBRADAS,LOS LAGOS
PEREIRA (CT),SECTOR PARQUE LA LIBERTAD
PEREIRA (CT),SECTOR PLAZA DE BOLIVAR
PEREIRA (CT),SECTOR GALERIA CENTRAL
SANTA ROSA DE CABAL,SECTOR ZONA ROSA
SANTA ROSA DE CABAL,B. CENTRO
SANTA ROSA DE CABAL,B. CENTRO
BARBOSA,EL CENTRO
BARBOSA,EL TRAPICHE
BARBOSA,EL CENTRO
BARRANCABERMEJA,GALAN GOMEZ
BUCARAMANGA (CT),CABECERA DEL LLANO
BUCARAMANGA (CT),SAN GERARDO
BUCARAMANGA (CT),VILLAS DE SAN IGNACIO
FLORIDABLANCA,CALDAS
FLORIDABLANCA,ALTAMIRA
GIRON,LOS CAMBULOS
GIRON,POBLADO
SAN ONOFRE,PALTO ALTO
SINCELEJO (CT),LAS DELICIAS
SINCELEJO (CT),BOSTON
SINCELEJO (CT),PLAZA MAJAGUAL
SINCELEJO (CT),PLAZA MAJAGUAL
CHAPARRAL,LIBERTADOR
COYAIMA,VRDA. AMAYARCO
COYAIMA,VRDA. AMAYARCO
ESPINAL,BALCANES
FLANDES,QUINTAS
IBAGUE (CT),MIRAMAR
IBAGUE (CT),20 DE JULIO
LIBANO,VRDA. EL PINAL
MELGAR,VRDA MALACHI
BUENAVENTURA,VIA BUENAVENTURA - BUGA
BUENAVENTURA,CENTRO
CAICEDONIA,EL CARMEN
CALI (CT),ANTONIO NARINHO E16
CALI (CT),SAN CARLOS E11
CALI (CT),EL TRONCAL E8
CALI (CT),LILI E17
CALI (CT),VILLA DEL SUR E11
CALI (CT),PAMPA LINDA E19
CALI (CT),VALLE GRANDE E21
CALI (CT),LOS ALCAZARES E6
CALI (CT),EL LIDO E19
CALI (CT),LILI E17
CALI (CT),LILI E17
GUADALAJARA DE BUGA,JOSE MARIA CABAL
PALMIRA,SEMBRADOR
PALMIRA,OLIMPICO
ARBOLETES,DEPORTIVO
BELLO,NAVARRA
BELLO,CIUDAD NIQUIA
CONCORDIA,LA ARBOLEDA
ENVIGADO,MESA
ENVIGADO,ZONA CENTRO
ITAGUI,PILSEN
MARINILLA,CENTRO
MARINILLA,LA BOMBA
MEDELLIN (CT),LAS VIOLETAS C-16
MEDELLIN (CT),LAS ACACIAS C-11
MEDELLIN (CT),CONQUISTADORES C-11
MEDELLIN (CT),ASTORGA C-14
MEDELLIN (CT),GUAYABAL C-15
MEDELLIN (CT),ESTACION VILLA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),EL RODEO C-15
MEDELLIN (CT),BELEN C-16
MEDELLIN (CT),CRISTO REY C-15
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),ASTORGA C-14
MONTEBELLO,LA CAMELIA
BARRANQUILLA (CT),CIUDADELA 20 DE JULIO
BARRANQUILLA (CT),LOS ANGELES
BARRANQUILLA (CT),EL BOSQUE
BARRANQUILLA (CT),MIRAMAR
SOLEDAD,SOLEDAD 2000
SOLEDAD,LAS GAVIOTAS
SOLEDAD,LOS CUSULES
CARTAGENA (CT),EL CABRERO
CARTAGENA (CT),EL LAGUITO
CARTAGENA (CT),BOCAGRANDE
DUITAMA,BARRIO CENTRO
DUITAMA,BARRIO CENTRO
JENESANO,PARQUE PRINCIPAL
SOGAMOSO,CENTRO
TUNJA (CT),BARRIO LAS PENHITAS
ANSERMA,LA PRADERA
LA MERCED,LA FELISA
MANIZALES (CT),CENTENARIO
MANIZALES (CT),LOS ALCAZARES
MANIZALES (CT),CENTRO
MANIZALES (CT),CENTRO
MANIZALES (CT),PLAZA DE TOROS
MANIZALES (CT),LA ESTRELLA
RIOSUCIO,CENTRO
RIOSUCIO,CENTRO
RIOSUCIO,CENTRO
RIOSUCIO,CENTRO
RIOSUCIO,CENTRO
RIOSUCIO,EL CARMELO
RIOSUCIO,HISPANIA
RIOSUCIO,LA CANDELARIA
RIOSUCIO,SECTOR PARQUE SAN SEBASTIAN
RIOSUCIO,SECTOR PARQUE SAN SEBASTIAN
RIOSUCIO,CENTRO
RIOSUCIO,CENTRO
MORELIA,VIA A FLORENCIA
YOPAL (CT),20 DE JULIO
YOPAL (CT),PROGRESO III
YOPAL (CT),NUEVO HABITAD
PIENDAMO,VDA TUNIA
POPAYAN (CT),SANTA CLARA
POPAYAN (CT),LA ALDEA
POPAYAN (CT),CENTRO
SANTANDER DE QUILICHAO,MORALES DUQUE
SILVIA,CENTRO
AGUACHICA,INV. LA PRADERA
CURUMANI,EL PARAISO
VALLEDUPAR (CT),DON CARMELO
QUIBDO (CT),LOS ROSALES
QUIBDO (CT),AMERICAS
CERETE,LA ESPERANZA
MONTERIA (CT),CHUCHURUBI
MONTERIA (CT),EL CENTRO
MONTERIA (CT),COSTA DE ORO
BOGOTA D.C. (CT),MUZU E-6
BOGOTA D.C. (CT),VISION DE COLOMBIA E-8
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),SAN DIEGO BOSA E-7
BOGOTA D.C. (CT),LA ESPERANZA E-12
BOGOTA D.C. (CT),LA ESTANCIA E-19
BOGOTA D.C. (CT),BELLAVISTA E-8
BOGOTA D.C. (CT),SALAZAR GOMEZ E-16
PASTO (CT),LOS DOS PUENTES
BOGOTA D.C. (CT),CARVAJAL E-8
BOGOTA D.C. (CT),EL RETIRO E-2
BOGOTA D.C. (CT),BOSA CARBONEL II E-7
BOGOTA D.C. (CT),URB. MADELENA I Y II SECTOR E-19
BOGOTA D.C. (CT),LOS NARANJOS E-7
BOGOTA D.C. (CT),MODELO E-12
BOGOTA D.C. (CT),LA PLAYA E-19
GRANADA,VER.GUACIMAL
ALBANIA,TRAMO DE VIA ALBANIA - CUESTESITAS
MAICAO,OVIDIO MEJIA
MAICAO,JOSE D BOSCAN
MAICAO,JOSE D BOSCAN
NEIVA (CT),ACACIAS ETAPA II
NEIVA (CT),LAS GRANJAS
NEIVA (CT),SAN JORGE
NEIVA (CT),LAS BRISAS
PITALITO,PORVENIR
PITALITO,PORVENIR
SANTA MARTA (CT),RODADERO TRADICIONAL
SANTA MARTA (CT),PLAYA SALGUERO
SANTA MARTA (CT),PLAYA SALGUERO
SANTA MARTA (CT),RODADERO TRADICIONAL
SANTA MARTA (CT),SANTA CRUZ
SANTA MARTA (CT),CENTRO
SANTA MARTA (CT),TAGANGA
PUERTO GAITAN,EL MANACACIAS
PUERTO GAITAN,MANACACIAS
PUERTO GAITAN,CENTRO
VILLAVICENCIO (CT),PORFIA
VILLAVICENCIO (CT),CENTAURO
VILLAVICENCIO (CT),MARACOS
VILLAVICENCIO (CT),CAUDAL NORTE
VILLAVICENCIO (CT),PIAMONTE
VILLAVICENCIO (CT),COVISAN
VILLAVICENCIO (CT),VEREDA VANGUARDIA
VILLAVICENCIO (CT),VEREDA VANGUARDIA
VILLAVICENCIO (CT),LA ESPERANZA
VILLAVICENCIO (CT),EL DARIEN
IPIALES,RUMICHACA
IPIALES,CENTRO
PASTO (CT),PALERMO
PASTO (CT),JERUSALEN
PASTO (CT),LA MINGA
PASTO (CT),LA MINGA
PASTO (CT),MIJITAYO ALTO
PASTO (CT),AV. LAS AMERICAS
PASTO (CT),BOMBONA
SAN ANDRES DE TUMACO,PUENTE DEL PROGRESO
SAN PABLO,NUEVO
TUQUERRES,SIMON BOLIVAR
TUQUERRES,SAN FRANCISCO
CUCUTA (CT),BARRIO PARAMO
CUCUTA (CT),BARRIO ALTO PAMPLONITA
OCANHA,BARRIO BRUSELAS
ARMENIA (CT),"QUINDOS I, II Y III"
ARMENIA (CT),LA PATRIA
LA VIRGINIA,LOS LIBERTADORES
PEREIRA (CT),VDA. EL CHOCHO
PEREIRA (CT),TERMINAL DE TRANSPORTES
PEREIRA (CT),SECTOR PARQUE EL LAGO
SANTA ROSA DE CABAL,B. CENTRO
SANTA ROSA DE CABAL,CENTRO 2
SANTA ROSA DE CABAL,B. CENTRO
BARBOSA,EL CENTRO
BARBOSA,EL TRAPICHE
BARRANCABERMEJA,JORGE ELIECER GAITAN
BARRANCABERMEJA,COLOMBIA
BUCARAMANGA (CT),SAN ALONSO
BUCARAMANGA (CT),EL PORVENIR
BUCARAMANGA (CT),CIUDADELA REAL DE MINAS
BUCARAMANGA (CT),CABECERA DEL LLANO
BUCARAMANGA (CT),PABLO VI
BUCARAMANGA (CT),SAN FRANCISCO
BUCARAMANGA (CT),CENTRO
BUCARAMANGA (CT),EL PRADO
FLORIDABLANCA,CANHAVERAL
FLORIDABLANCA,LAGOS I
GIRON,EL PALENQUE
LEBRIJA,LA POPA
PIEDECUESTA,JUNIN
SAN ONOFRE,CGTO RINCON DEL MAR
SANTIAGO DE TOLU,CALLE NUEVA
SINCELEJO (CT),PUERTA ROJA
SINCELEJO (CT),MAJAGUAL
SINCELEJO (CT),ALTOS DE LA SABANA
SINCELEJO (CT),AV. LUIS CARLOS GALAN
SINCELEJO (CT),RURAL LA SIERRA VIA TOLU
SINCELEJO (CT),RURAL LA SIERRA VIA TOLU
TOLU VIEJO,SAN RAFAEL
ESPINAL,CENTRO
ESPINAL,CENTRO
IBAGUE (CT),CENTRO
IBAGUE (CT),COQUETA
IBAGUE (CT),JORDAN ARKCENTRO
IBAGUE (CT),LOS PARRALES
ICONONZO,ALTO DE LA VIRGEN
VENADILLO,CENTRO
BUENAVENTURA,MUELLE TURISTICO
BUENAVENTURA,NUEVA BUENAVENTURA
CAICEDONIA,EL CARMEN
CALI (CT),VEREDA CASCAJAL E22
CALI (CT),CALDAS E18
CALI (CT),EL LIDO E19
CALI (CT),MANUELA BELTRAN E14
CALI (CT),CIUDADELA DEL RIO E21
CALI (CT),CIUDADELA DEL RIO E21
CALI (CT),JOSE M. MARROQUIN II E14
CALI (CT),VALLE GRANDE E21
CALI (CT),VALLE GRANDE E21
CALI (CT),CHAMPAGNAT E19
CALI (CT),JUANAMBU E2
CALI (CT),NAPOLES E18
CALI (CT),FENALCO KENNEDY E12
CALI (CT),BRETANHA E9
CARTAGO,CENTRO
CARTAGO,CENTRO
GUADALAJARA DE BUGA,CGTO. EL VINCULO
LA UNION,CENTRO
PALMIRA,CENTRAL
PALMIRA,SANTA RITA
PALMIRA,RECTA CALI - PALMIRA
TULUA,NUEVO FATIMA
YUMBO,BELALCAZAR E25
APARTADO,MANZANAREZ
BELLO,PRADO
CHIGORODO,CENTRO
CONCORDIA,LA ARBOLEDA
ENVIGADO,ZONA CENTRO
ENVIGADO,JARDINES
ENVIGADO,MESA
ITAGUI,SIMON BOLIVAR
MARINILLA,CENTRO
MARINILLA,CENTRO
MEDELLIN (CT),BOSTON C-10
MEDELLIN (CT),CASTILLA C-5
MEDELLIN (CT),CONQUISTADORES C-11
MEDELLIN (CT),ESTADIO C-11
MEDELLIN (CT),LA AGUACATALA C-14
MEDELLIN (CT),SAN MIGUEL C-8
MEDELLIN (CT),ROSALES C-16
MEDELLIN (CT),SAN JAVIER 1 C-13
MEDELLIN (CT),LA LOMA DE LOS BERNAL C-16
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),VIA SANTA ELENA  C-9
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),CARIBE C-5
MEDELLIN (CT),ARANJUEZ  C-4
MEDELLIN (CT),EL POBLADO C-14
MEDELLIN (CT),LORENA C-11
MEDELLIN (CT),LA CANDELARIA C-10
NECOCLI,SIMON BOLIVAR I
BARRANQUILLA (CT),SAN ROQUE
CARTAGENA (CT),DANIEL LEMAITRE
CARTAGENA (CT),EL LAGUITO
CARTAGENA (CT),PIE DEL CERRO
EL CARMEN DE BOLIVAR,VEREDA SAN RAFAEL
MAGANGUE,BARRIO VILLA JULIANA
CHIQUINQUIRA,BARRIO CENTRO
