BARRIO,ZONA
EL LIBERTADOR E-7,URBANA
CARLOS LLERAS RESTREPO E-9,URBANA
SANTA BARBARA E-1,URBANA
SANTA ISABEL E-14,URBANA
VILLA DEL PRADO E-11,URBANA
ESCOCIA IX SECTOR E-7,URBANA
LA GRANJA E-10,URBANA
LA URIBE E-1,URBANA
SAN LUIS E-13,URBANA
TORCA GONGORA E-1,URBANA
LOS LAURELES E-7,URBANA
LOURDES E-2,URBANA
RINCON DE BRITALIA E-11,URBANA
URB. CLARET EL CARMEN E-6,URBANA
SAN MIGUEL,URBANA
ALFONSO LOPEZ,URBANA
LA COSECHA,URBANA
LOS NOGALES,URBANA
ARRIBA,URBANA
LA COLINA,URBANA
VILLA NUBIA,URBANA
CENTRO,URBANA
CENTRO,URBANA
CENTRO,URBANA
CENTRO,URBANA
ANTONIO NARANJO,URBANA
GUAJIRA,URBANA
RODADERO SUR,URBANA
RODADERO TRADICIONAL,URBANA
SAN PABLO,URBANA
RODADERO SUR,URBANA
CENTRO,URBANA
LA ESPERANZA VII ETAPA,URBANA
EL EMPORIO,URBANA
ASBIDES,URBANA
CENTRO,URBANA
CANCHALA,URBANA
BETANIA,URBANA
BARRIO LA CAPELLANA,URBANA
BARRIO CECI,URBANA
CAMPESTRE A,URBANA
LA BADEA,RURAL
CAMILO TORRES 1,URBANA
CAMILO TORRES 1,URBANA
SECTOR PLAZA DE BOLIVAR,URBANA
SAN JOSE SUR,URBANA
EL REMANSO,URBANA
CENTENARIO,URBANA
SECTOR GALERIA,URBANA
BARRIO EL CLIFF,URBANA
CINCUENTENARIO,URBANA
LA FLORESTA,URBANA
ANTONIA SANTOS,URBANA
GARCIA ROVIRA,URBANA
ALARCON,URBANA
LAGOS I,URBANA
VDA. ACAPULCO,URBANA
SAN MIGUEL,URBANA
EL RECREO,URBANA
EL SALADO,RURAL
MACARENA ALTA,URBANA
HIPODROMO,URBANA
CENTRO,URBANA
VRDA. GUACAMAYAS,RURAL
VRDA. GUACAMAYAS,RURAL
EL REMANSO E21,URBANA
SAN FERNANDO NUEVO E19,URBANA
LA HACIENDA E17,URBANA
EL SENA E5,URBANA
LOS CAMBULOS E19,URBANA
LOS CAMBULOS E19,URBANA
PRIMERO DE MAYO E17,URBANA
SAN JOAQUIN E17,URBANA
CALIMA E4,URBANA
UNICENTRO CALI E17,URBANA
PASO DEL COMERCIO E6,URBANA
SILOE E20,URBANA
BRETANHA E9,URBANA
BRETANHA E9,URBANA
SIETE DE AGOSTO E7,URBANA
NUEVA FLORESTA E12,URBANA
LLERAS CAMARGO E20,URBANA
EL TRONCAL E8,URBANA
EL POBLADO II E13,URBANA
PORTAL DE LAS PALMAS,URBANA
PORTAL DE LAS PALMAS,URBANA
SAN JOSE OBRERO,URBANA
VDA LA RAQUELITA,RURAL
CENTRAL,URBANA
CRISTO REY,URBANA
EL PORTAL,URBANA
OBRERO,URBANA
VDA. EL PEDREGAL,RURAL
ALTOS DEL POBLADO C-14,URBANA
PRADO C-10,URBANA
CARIBE C-5,URBANA
EL POBLADO C-14,URBANA
BARRIO COLON C-10,URBANA
EL VELODROMO C-11,URBANA
LA CANDELARIA C-10,URBANA
LA FLORESTA C-12,URBANA
SAN BENITO C-10,URBANA
VEINTE DE JULIO C-13,URBANA
JESUS NAZARENO C-10,URBANA
VERSALLES 2 C-3,URBANA
CORDOBA C-7,URBANA
PRADO C-10,URBANA
LAURELES C-11,URBANA
LA CANDELARIA C-10,URBANA
BOSTON C-10,URBANA
ESTACION VILLA C-10,URBANA
LA CANDELARIA C-10,URBANA
VIA SANTA ELENA  C-9,URBANA
LA ALPUJARRA C-10,URBANA
PRADO C-10,URBANA
EL POBLADO C-14,URBANA
EL POBLADO C-14,URBANA
VILLANUEVA C-10,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
QUEBRADA ARRIBA,URBANA
SAN ROQUE,URBANA
SANTO DOMINGO DE GUZMAN,URBANA
LA CONCEPCION,URBANA
PRADO,URBANA
EL ROSARIO,URBANA
SALAMANCA,URBANA
3 DE JULIO,URBANA
LA PAZ,URBANA
VEINTE DE JULIO,URBANA
BARRIO VILLAPILAR,URBANA
VILLA CARMENZA,URBANA
TERMINAL,URBANA
ATALAYA,URBANA
PABLO SEXTO,URBANA
LLERAS,URBANA
LIMONAR,URBANA
CENTRO,URBANA
EL PARAISO,URBANA
EL PARAISO,URBANA
FRAY JUAQUIN DE ORIJUELA,URBANA
INSPECAM,URBANA
SANTA TERESA,URBANA
MOLINOS DEL SUR E-18,URBANA
MOLINOS DEL SUR E-18,URBANA
URB. MADELENA I Y II SECTOR E-19,URBANA
COMPOSTELA I E-5,URBANA
SAN ANTONIO E-15,URBANA
ANTONIA SANTOS E-7,URBANA
LA CANHIZA SECTOR I E-11,URBANA
QUINTA MUTIS E-12,URBANA
PANAMERICANO E-14,URBANA
TUNA ALTA E-11,URBANA
CHICO I E-2,URBANA
JAKELIN E-8,URBANA
ALCALA  E-11,URBANA
CHAPINERO CENTRAL E-2,URBANA
URB. EL VIRREY E-5,URBANA
VISTA HERMOSA SECTOR EL CAPRI E-19,URBANA
EL TINTAL E-8,URBANA
PRADO VERANIEGO E-11,URBANA
EL ARRAYAN E-19,URBANA
VEINTE DE JULIO E-4,URBANA
BARRANCAS E-1,URBANA
BELEN E-17,URBANA
SALITRE PLAZA E-9,URBANA
URB. NUEVA AUTOPISTA E-1,URBANA
CHAPINERO ALTO E-2,URBANA
CIUDAD SALITRE II E-13,URBANA
METROPOLIS E-12,URBANA
LA URIBE E-1,URBANA
MOLINOS DEL SUR E-18,URBANA
TEQUENDAMA   E-8,URBANA
BRAVO PAEZ E-18,URBANA
LA CONCORDIA E-17,URBANA
LA CONCORDIA E-17,URBANA
LAS DOS AVENIDAS E-8,URBANA
SAN ANTONIO DE ESCOCIA E-7,URBANA
BRASILIA I SECTOR E-8,URBANA
CENTRO,URBANA
SANTA ISABEL,URBANA
ALAMOS NORTE,URBANA
JUAN XXIII,URBANA
BARZAL BAJO,URBANA
MACUNAIMA,URBANA
SESQUICENTENARIO,URBANA
PORFIA,URBANA
PARAISO,URBANA
VILLA BOLIVAR,URBANA
BARZAL ALTO,URBANA
JORDAN,URBANA
CENTRO,URBANA
OBRERO,URBANA
CGTO SANTANDER,RURAL
SAN IGNACIO,URBANA
EL PILAR,URBANA
VILLAFLOR II,URBANA
LAS LUNAS,URBANA
IDEMA,URBANA
LA ESTRELLA,URBANA
TEQUENDAMA,URBANA
SANTA BARBARA,URBANA
EL PILAR,URBANA
20 DE JULIO,URBANA
BARRIO LA HERMITA,URBANA
BARRIO CAOBOS,URBANA
BARRIO PUEBLO NUEVO,URBANA
BARRIO PRADOS I,URBANA
BARRIO CECI,URBANA
BARRIO LATINO,URBANA
BARRIO OSPINA PEREZ,URBANA
SECTOR CARCEL PENHAS BLANCAS,URBANA
LOS CRISTALES,URBANA
CACIQUE,URBANA
VDA. BOQUERON,RURAL
SANTA ISABEL 1,URBANA
SAN JORGE,URBANA
LA ESPERANZA,URBANA
SAN CRISTOBAL,URBANA
PORTON DEL TEJAR,URBANA
EL ROSAL,URBANA
GIRARDOT,URBANA
CENTRO,URBANA
BUCARICA,URBANA
VILLABEL,URBANA
EL BOSQUE,URBANA
INV. BRISAS DE RIO FRIO,URBANA
VDA. SAN FRANCISCO,RURAL
SAN CARLOS,URBANA
MACARENA,URBANA
EL POBLADO,URBANA
CENTRO,URBANA
LOS MARTIRES,URBANA
JARDIN I ETAPA,URBANA
EL BUNDE,URBANA
CONFATOLIMA,URBANA
GALAN,URBANA
LOS MANDARINOS,URBANA
RICAURTE PARTE ALTA,URBANA
CENTRO,URBANA
EL JORGE,URBANA
CALDAS,URBANA
INDEPENDENCIA,URBANA
INVASION LA CARMELITA,URBANA
LA FORTALEZA E11,URBANA
URB. CIUDAD JARDIN E22,URBANA
MELENDEZ E18,URBANA
LA HACIENDA E17,URBANA
OLIMPICO E10,URBANA
SECTOR ALTO LOS CHORROS E18,URBANA
SANTA ELENA E10,URBANA
MANUELA BELTRAN E14,URBANA
LA MERCED E3,URBANA
JORGE ELIECER GAITAN E6,URBANA
CHAPINERO E8,URBANA
EL JARDIN E11,URBANA
ALFONSO B. ARAGON E14,URBANA
CANHAVERALES - LOS SAMANES E17,URBANA
ALFONSO LOPEZ III E7,URBANA
ALFONSO LOPEZ I E7,URBANA
SIETE DE AGOSTO E7,URBANA
LA COSECHA,URBANA
JUAN PABLO SEGUNDO,URBANA
LA CABANHA,URBANA
LA MADERA,URBANA
EL CARMELO,URBANA
PRIMAVERA,URBANA
LAS VEGAS,URBANA
LOS NARANJOS,URBANA
PLAYA RICA,URBANA
SAN AGUSTIN,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
EL POBLADO C-14,URBANA
VERSALLES 1 C-3,URBANA
LA MILAGROSA  C-9,URBANA
FLORIDA NUEVA C-11,URBANA
LA CANDELARIA C-10,URBANA
CARIBE C-5,URBANA
PERPETUO SOCORRO C-10,URBANA
BOSTON C-10,URBANA
FLORENCIA C-5,URBANA
ASTORGA C-14,URBANA
VILLANUEVA C-10,URBANA
PEDREGAL C-6,URBANA
JARDIN BOTANICO  C-4,URBANA
LA CANDELARIA C-10,URBANA
SAN LUIS,RURAL
SAN ROQUE,URBANA
COLOMBIA,URBANA
COSTA HERMOSA,URBANA
BAZURTO,URBANA
BARRIO RICAUTE,URBANA
LAS AMERICAS,URBANA
CENTRO,URBANA
SECTOR CAMPAMENTO,RURAL
VIA MORELIA,RURAL
GAVAN,URBANA
LOS OCOBOS,URBANA
LLANO LINDO,URBANA
LAS AMERICAS,URBANA
RETIRO BAJO,URBANA
CAMPAMENTO,URBANA
PORVENIR III,URBANA
CUBA,URBANA
URB.LUIS CARLOS GALAN,URBANA
1º DE MAYO,URBANA
CENTRO,URBANA
DANGON,URBANA
NINHO JESUS,URBANA
BOITA E-8,URBANA
SAN CRISTOBAL NORTE E-1,URBANA
TECHO  E-8,URBANA
TEUSAQUILLO E-13,URBANA
URB. MAZUREN I SECTOR E-11,URBANA
FLORALIA E-8,URBANA
OLARTE E-7,URBANA
SANTA INES E-3,URBANA
VILLA NELLY E-8,URBANA
TOBERIN ORIENTAL E-1,URBANA
SAN JOSE E-9,URBANA
PRADO VERANIEGO E-11,URBANA
SAN PABLO E-7,URBANA
PATIO BONITO I E-8,URBANA
CHICO I E-2,URBANA
OLAYA E-18,URBANA
7 DE AGOSTO E-12,URBANA
AURES II E-11,URBANA
URB. MADELENA I Y II SECTOR E-19,URBANA
URB. PALENQUE E-8,URBANA
LOS CEDRITOS E-1,URBANA
ARBORIZADORA ALTA E-19,URBANA
GUSTAVO RESTREPO E-18,URBANA
VILLA MAGDALA E-1,URBANA
URB. MONTES I SECTOR E-16,URBANA
LA GLORIA E-4,URBANA
NUEVO MUZU I SECTOR E-6,URBANA
MODELIA E-9,URBANA
CENTRO,URBANA
COLINA LINDA E-11,URBANA
RESTREPO E-15,URBANA
CASTILLA LA NUEVA E-8,URBANA
TIMIZA CELULA A LOTE RA-2 E-8,URBANA
MURILLO TORO E-18,URBANA
EL CAMPIN E-13,URBANA
URB. LA ALQUERIA E-16,URBANA
URB. GAITAN E-12,URBANA
CHAPINERO CENTRAL E-2,URBANA
SAN ANTONIO E-15,URBANA
PATIO BONITO I E-8,URBANA
POLO CLUB E-12,URBANA
EL EJIDO E-16,URBANA
POLO CLUB E-12,URBANA
LOS PINOS E-10,URBANA
NUEVA COLOMBIA E-19,URBANA
CHAPINERO ALTO E-2,URBANA
ALCALA E-16,URBANA
BALMORAL,URBANA
SANTA ANA,URBANA
SANTA BARBARA,URBANA
TRAMO DE VIA,RURAL
BARRIO PRIMERO DE OCTUBRE,URBANA
PUERTA DEL SOL,URBANA
LUIS IGNACIO ANDRADE,URBANA
ALTICO,URBANA
VEREDA SAN MATIAS,RURAL
VEREDA SAN MATIAS,RURAL
LOS LAGOS,URBANA
VEREDA MEDIO ORIENTE,RURAL
URBANIZACION LA INVASION RH,URBANA
SAN MARTIN,URBANA
JORDAN,URBANA
CAUDAL ORIENTAL,URBANA
MARACOS,URBANA
VEREDA APIAY,RURAL
VEREDA APIAY,RURAL
VEREDA APIAY,RURAL
VILLA JULIA,URBANA
LA ESPERANZA,URBANA
VAINILLA,URBANA
JARDIN,URBANA
SAN JORGE,URBANA
PANDIACO,URBANA
IDEMA,URBANA
VERSALLES,URBANA
CENTRO,URBANA
BARRIO LA PLAYA,URBANA
BARRIO LA PLAYA,URBANA
BARRIO LA GLORIA,URBANA
JOSE HOMERO,URBANA
NUEVA CECILIA,URBANA
MIRAFLORES ALTO,URBANA
MIRAFLORES ALTO,URBANA
SECTOR IMPALA,URBANA
SECTOR AVENIDA CIRCUNVALAR,URBANA
BARRIOS UNIDOS,URBANA
PRIMERO DE MAYO,URBANA
EL PARNASO,URBANA
LA CEIBA,URBANA
SAN FRANCISCO,URBANA
CABECERA DEL LLANO,URBANA
CABECERA DEL LLANO,URBANA
CENTRO,URBANA
VDA. LOS CAUCHOS,URBANA
EL REPOSO,URBANA
BALCON DE ALARES,URBANA
FAVUIS,URBANA
VDA. GUATIGUARA,URBANA
SECTOR SALIDA A MAGANGUE,RURAL
LA FE,URBANA
LAS DELICIAS,URBANA
PLAZA MAJAGUAL,URBANA
MACARENA,URBANA
VILLA DEL SOL,URBANA
CALARCA,URBANA
20 DE JULIO,URBANA
GAITAN PARTE ALTA,URBANA
CALARCA,URBANA
INDEPENDENCIA,URBANA
PRADOS DEL NORTE E2,URBANA
ALFONSO LOPEZ I E7,URBANA
CUARTO LEGUA - GUADALUPE E19,URBANA
EUCARISTICO E19,URBANA
JUNIN E9,URBANA
PRADOS DEL NORTE E2,URBANA
SAN FERNANDO NUEVO E19,URBANA
VILLA DEL PRADO - EL GUABITO E5,URBANA
CALDAS E18,URBANA
URB. COLSEGUROS E19,URBANA
INDUSTRIAL E8,URBANA
DIAMANTE E13,URBANA
CIUDADELA CONFANDI E17,URBANA
EL LIDO E19,URBANA
ALFONSO LOPEZ I E7,URBANA
VERSALLES E2,URBANA
ALFONSO LOPEZ I E7,URBANA
FEPICOL E7,URBANA
COINCER,URBANA
QUINTAS DE BOLIVAR E24,URBANA
LLANO GRANDE,URBANA
NIQUIA BIFAMILIAR,URBANA
CIUDADELA DEL NORTE,URBANA
LA ESTACION,URBANA
LA MARIA,URBANA
LAS VEGAS,URBANA
LA CANDELARIA C-10,URBANA
LOPEZ DE MESA C-7,URBANA
CARIBE C-5,URBANA
SANTA MONICA C-12,URBANA
EL NOGAL. LOS ALMENDROS C-16,URBANA
GUAYAQUIL C-10,URBANA
ESTACION VILLA C-10,URBANA
ESTACION VILLA C-10,URBANA
CUCARACHO C-7,URBANA
LA FLORESTA C-12,URBANA
NARANJAL C-11,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
7 DE ABRIL,URBANA
EL SANTUARIO,URBANA
EL SANTUARIO,URBANA
EL SANTUARIO,URBANA
SAN LUIS,URBANA
SAN NICOLAS,URBANA
REP. DEL LIBANO,URBANA
REP. DEL LIBANO,URBANA
PIE DE LA POPA,URBANA
BLAS DE LEZO,URBANA
COLOMBIA,URBANA
EL CARMEN,URBANA
BARRIO AQUIMIN,URBANA
LA AMAZONIA,URBANA
LA AMAZONIA,URBANA
EL ROSAL,URBANA
PABLO SEXTO,URBANA
20 DE JULIO,URBANA
LOS HELECHOS,URBANA
LAS AMERICAS,URBANA
MORALES DUQUE,URBANA
LA SABANITA,URBANA
LOS MUSICOS,URBANA
EL PINHAL,URBANA
HUAPANGO,URBANA
NINHO JESUS,URBANA
BONANZA,URBANA
MIS ESFUERZOS,URBANA
EL DORADO,URBANA
LOS ARRAYANES E-11,URBANA
BOSA E-7,URBANA
ROSALES E-2,URBANA
PARQUE NACIONAL E-3,URBANA
QUINTA CAMACHO E-2,URBANA
COUNTRY PLAZA E-1,URBANA
CHAPINERO ALTO E-2,URBANA
LA LIBERTAD E-7,URBANA
MUZU E-16,URBANA
LA CITA E-1,URBANA
LA FAVORITA E-14,URBANA
LAS NIEVES E-3,URBANA
VILLA LUZ E-10,URBANA
LA FRAGUA E-15,URBANA
VERBENAL E-1,URBANA
SAN BERNARDINO E-7,URBANA
BOSA CENTRO E-7,URBANA
URB. LAS LOMAS E-18,URBANA
VEINTE DE JULIO E-4,URBANA
URB. CARIMAGUA I SECTOR E-8,URBANA
SAN JOSE DE BAVARIA E-11,URBANA
GRAN BRITALIA E-8,URBANA
URB. SAN PATRICIO E-1,URBANA
EL TUNAL II E-6,URBANA
EL NOGAL E-2,URBANA
OLAYA E-18,URBANA
SANTA LUCIA E-18,URBANA
SAN FERNANDO E-12,URBANA
PIAMONTE E-7,URBANA
CHAPINERO CENTRAL E-2,URBANA
CHICO NORTE III SECTOR E-2,URBANA
COLOMBIA E-12,URBANA
MORAVIA E-9,URBANA
EL RECREO E-7,URBANA
PATIO BONITO I E-8,URBANA
BOSA E-7,URBANA
SANTA ROSITA E-10,URBANA
ATAHUALPA E-9,URBANA
PATIO BONITO I E-8,RURAL
CIUDAD KENNEDY OCC E-8,URBANA
QUINTA PAREDES E-13,URBANA
SAN DIEGO E-3,URBANA
MODELO E-12,URBANA
LAGO GAITAN E-2,URBANA
SAN JORGE E-18,URBANA
URB. LOS COMUNEROS E-16,URBANA
BACHUE E-10,URBANA
LA PONDEROSA E-16,URBANA
SANTA ISABEL E-14,URBANA
CENTRO,URBANA
GAITAN,URBANA
GAITAN,URBANA
EL CARMEN,URBANA
EL CARMEN,URBANA
EL PROGRESO,URBANA
PIEDRA PINTADA,URBANA
ALAMOS,URBANA
LOS ANDAQUIES,URBANA
LAS  MERCEDES,URBANA
VEREDA TABACAL,RURAL
CENTRO,URBANA
CENTRO,URBANA
BOLIVARIANA,URBANA
VILLA ITALIA,URBANA
BELLA VISTA,URBANA
VILLAS DE GRANADA,URBANA
VEREDA EL AMOR,URBANA
VEREDA EL AMOR,URBANA
VILLA JULIA,URBANA
CALAMAR,URBANA
KIRPA,URBANA
VILLA JULIA,URBANA
SANTA HELENA I,URBANA
SAN ANTONIO,URBANA
CENTRO,URBANA
SANTA BARBARA,URBANA
SANTIAGO,URBANA
LA FLORESTA,URBANA
SAN ALBANO,URBANA
PUCALPA III,URBANA
BARRIO CUNDINAMARCA,URBANA
BARRIO GERONIMO URIBE,URBANA
BARRIO LA PLAYA,URBANA
BARRIO EL LLANO,URBANA
BARRIO CENTRO,URBANA
BARRIO CENTRO,URBANA
NAVARRO WOLF,URBANA
SECTOR LA VEINTE,URBANA
CANHAS GORDAS,URBANA
INDEPENDIENTES,URBANA
PINARES DE SAN MARTIN,URBANA
SECTOR PARQUE LA LIBERTAD,URBANA
CENTRO (A) PEREIRA,URBANA
SAN JORGE,URBANA
COLOMBIA,URBANA
CGTO. EL CENTRO,RURAL
BOLIVAR,URBANA
CABECERA DEL LLANO,URBANA
LA JOYA,URBANA
ALFONSO LOPEZ,URBANA
BUENOS AIRES,URBANA
C.R. VERSALLES REAL,URBANA
LA CUMBRE,URBANA
BUCARICA,URBANA
LA CUMBRE,URBANA
INV. NUEVA JUVENTUD,URBANA
SECTOR TRONCAL,URBANA
GUINEA,URBANA
PUERTO LOPEZ,URBANA
VENECIA,URBANA
GAITAN,URBANA
LA ARBOLEDA,URBANA
SIMON BOLIVAR,URBANA
MAGDALENA,URBANA
CENTRO,URBANA
ARKALENA,URBANA
VRDA. JUNTAS,URBANA
VILLA DEL SOL,URBANA
F8,URBANA
VILLA DEL PRADO - EL GUABITO E5,URBANA
EL PRADO E11,URBANA
EL REFUGIO E19,URBANA
CALIMA E4,URBANA
DESEPAZ INVICALI E21,URBANA
EL TREBOL E8,URBANA
CANHAVERALEJO - SEGUROS P. E19,URBANA
SAN PEDRO E3,URBANA
CIUDAD CORDOBA E15,URBANA
URB. CIUDAD JARDIN E22,URBANA
MARIANO RAMOS E16,URBANA
SAN PEDRO E3,URBANA
SAN FERNANDO NUEVO E19,URBANA
EL LIDO E19,URBANA
SIETE DE AGOSTO E7,URBANA
VALLADO E15,URBANA
LA CAMPINHA E2,URBANA
URB. COLSEGUROS E19,URBANA
SAN ANTONIO,URBANA
LORETO,URBANA
URIBE E25,RURAL
OCHO DE DICIEMBRE,RURAL
ZAMORA,URBANA
PLAYA RICA,URBANA
EL CAMELLO,URBANA
MILLAN Y VALLEJUELOS,URBANA
EL PORTAL,URBANA
KENNEDY C-6,URBANA
CALLE NUEVA C-10,URBANA
LA CANDELARIA C-10,URBANA
ESTADIO C-11,URBANA
SAN DIEGO C-10,URBANA
BELEN C-16,URBANA
BELEN C-16,URBANA
LA FLORIDA C-14,URBANA
LAURELES C-11,URBANA
LA CANDELARIA C-10,URBANA
SAN DIEGO C-10,URBANA
CARIBE C-5,URBANA
EL BOSQUE,URBANA
SECTOR TRIANGULO,URBANA
ARRAYANES,URBANA
ONDAS DE OTUN,URBANA
JUAN XXIII,URBANA
VILLA DEL PRADO,URBANA
GUADALUPE SALCEDO,URBANA
CENTRO,URBANA
PRADOS DEL NORTE,URBANA
LA ESMERALDA,URBANA
ALFONSO CAICEDO,URBANA
LA UNION,URBANA
CENTRO,URBANA
LA NEVADA,URBANA
SILENCIO,URBANA
NINHO JESUS,URBANA
NINHO JESUS,URBANA
EL PARAISO,URBANA
TURINGIA E-11,URBANA
MARTIRES E-14,URBANA
RESTREPO E-15,URBANA
FONTIBON CENTRO E-9,URBANA
VILLA DE LA TORRE E-8,URBANA
VILLA DE LA TORRE E-8,URBANA
CHAPINERO ALTO E-2,URBANA
PARQUE NACIONAL E-3,URBANA
SAN FASSON E-14,URBANA
POLICARPA SALAVARRIETA E-15,URBANA
LA GAITANA E-11,URBANA
VOTO NACIONAL E-14,URBANA
PRADO SUR E-11,URBANA
RICAURTE E-14,URBANA
ALQUERIA LA FRAGUA E-8,URBANA
LA ESMERALDA E-13,URBANA
LA CABRERA E-2,URBANA
CHICO I E-2,URBANA
RESTREPO E-15,URBANA
URB. LAGUNETA E-6,URBANA
CONTADOR E-1,URBANA
SAN DIEGO E-3,URBANA
LAS COLINAS E-18,URBANA
PATIO BONITO I E-8,URBANA
VILLA JAVIER E-4,URBANA
PRADO VERANIEGO E-11,URBANA
CAPELLANIA E-9,URBANA
SANTA HELENITA E-10,URBANA
TURINGA SUBA E-11,URBANA
ALQUERIA LA FRAGUA E-8,URBANA
ONCE DE NOVIEMBRE E-12,URBANA
BOSA CENTRO E-7,URBANA
SAN LUIS E-13,URBANA
SAN CRISTOBAL NORTE E-1,URBANA
TEUSAQUILLO E-13,URBANA
LOS VIRREYES II E-1,URBANA
GUSTAVO RESTREPO E-18,URBANA
SANTILLANA,URBANA
EL MOLINO,RURAL
SAN MARTIN DE LOBA,URBANA
CORREGIMIENTO DE ZAMBRANO,RURAL
PROVIVIENDA,URBANA
CENTRO,URBANA
CANDIDO LEGUIZAMO,URBANA
CALAMARI,URBANA
LOS MARTIRES,URBANA
SAN MATEO,URBANA
SILVIA ROSA,URBANA
BUENOS AIRES,URBANA
LA ROSITA,URBANA
SAN ANTONIO,RURAL
SAN BENITO,URBANA
BARZAL ALTO,URBANA
MONTECARLO,URBANA
BALATA,URBANA
CATALUNHA,URBANA
SAN JOSE,URBANA
CENTRO,URBANA
VENECIA,URBANA
SANTA BARBARA,URBANA
PALERMO,URBANA
LA CAROLINA,URBANA
AQUINE II,URBANA
CENTRO,URBANA
LA CAROLINA,URBANA
SAN ALBANO,URBANA
CENTRO,URBANA
SAN JUAN BOSCO,RURAL
LA CIUDADELA,URBANA
BARRIO SEVILLA,URBANA
BARRIO CENTRO,URBANA
BARRIO CALLEJON,URBANA
BARRIO SAN LUIS,URBANA
CENTRO,URBANA
SECTOR VIADUCTO,URBANA
VALHER,URBANA
B. LA HERMOSA,URBANA
LA ESPERANZA,URBANA
PROVENZA,URBANA
INV. PUENTE NARINHO,URBANA
GARCIA ROVIRA,URBANA
CENTRO,URBANA
CABECERA DEL LLANO,URBANA
SAN JOAQUIN E17,URBANA
MORRORICO,URBANA
URB. COLSEGUROS NORTE,URBANA
VILLABEL,URBANA
BELLAVISTA,URBANA
LOS ROSALES,URBANA
LOS ROSALES,URBANA
CHIMITA,URBANA
ALBANIA P/TA,URBANA
VRDA  DOCTRINA NARANJOS,RURAL
MOCHILA,URBANA
CENTRO,URBANA
CENTRO,URBANA
CENTRO,URBANA
ENTRE RIOS,URBANA
CENTRO,URBANA
RESTREPO,URBANA
VIA AEROPUERTO,RURAL
EL CARMEN,URBANA
PALERMO,URBANA
JAZMIN,URBANA
BELARCAZAR,URBANA
VRDA. LA CAJITA,RURAL
SALOMIA E4,URBANA
VALLADO E15,URBANA
SAN JUAN BOSCO E3,URBANA
SAN PEDRO E3,URBANA
SAN VICENTE E2,URBANA
VERSALLES E2,URBANA
SAN NICOLAS E3,URBANA
VILLA DEL PRADO - EL GUABITO E5,URBANA
SANTA MONICA RESIDENCIAL E2,URBANA
VALLADO E15,URBANA
SUCRE E9,URBANA
BENJAMIN HERRERA E8,URBANA
SAN PEDRO E3,URBANA
BENJAMIN HERRERA E8,URBANA
BENJAMIN HERRERA E8,URBANA
BOSQUES DEL LIMONAR E17,URBANA
OLIMPICO E10,URBANA
SECTOR PUENTE DEL COMERCIO E6,URBANA
LA FLORA E2,URBANA
LA FLORA E2,URBANA
VILLA DEL SOL,URBANA
MORAVIA  C-4,URBANA
SECTOR INDUSTRIAL ACOPI  (25-2),URBANA
LA CABANHA,URBANA
LA CAMILA,URBANA
SALENTO,URBANA
CENTRAL,URBANA
ALCALA,URBANA
SAN FERNANDO,URBANA
ZONA CENTRO,URBANA
ESTACION VILLA C-10,URBANA
MORAVIA  C-4,URBANA
CASTILLA C-5,URBANA
ROBLEDO C-7,URBANA
EL RINCON C-16,URBANA
PATIO BONITO C-14,URBANA
BARRIO COLON C-10,URBANA
LA CANDELARIA C-10,URBANA
PRADO C-10,URBANA
LA CANDELARIA C-10,URBANA
EL POBLADO C-14,URBANA
CALLE NUEVA C-10,URBANA
NARANJAL C-11,URBANA
BOLIVARIANA C-11,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
EL POBLADO C-14,URBANA
BUENOS AIRES,URBANA
CHIQUINQUIRA,URBANA
CENTRO,URBANA
AMBERES,URBANA
AMBERES,URBANA
BARRIO CENTRAL,URBANA
BARRIO LIBERTADOR,URBANA
CENTRO,URBANA
NOGALES,URBANA
TOVAR ZAMBRANO,URBANA
LOS CONSTRUCTORES,URBANA
EL TRIUNFO,URBANA
JUAN XXIII BAJO,URBANA
AEROCIVIL,URBANA
SAN JOSE,URBANA
SANTA HELENA,URBANA
ALAMOS II,URBANA
LA NEVADA,URBANA
LOS MAYALES,URBANA
ALFONSO LOPEZ,URBANA
POLICARPA,URBANA
ALTOS DEL REDIL E-1,URBANA
CHAPINERO CENTRAL E-2,URBANA
RICAURTE E-14,URBANA
SAN RAFAEL INDUSTRIAL E-16,URBANA
EL RINCON E-11,URBANA
SAN CRISTOBAL E-4,URBANA
AURES II E-11,URBANA
BRASILIA I SECTOR E-7,URBANA
LOS MOLINOS DEL VIENTO E-1,URBANA
SAN JOSE SUR E-18,URBANA
LA PAZ E-12,URBANA
ESTADOS UNIDOS   E-8,URBANA
LA PRIMAVERA E-7,URBANA
SANTA MARIA DEL LAGO E-10,URBANA
SANTA HELENA E-11,URBANA
SANTA HELENITA E-10,URBANA
CENTENARIO E-9,URBANA
LA PONDEROSA E-16,URBANA
MARLY E-2,URBANA
TEUSAQUILLO E-13,URBANA
GRAN BRITALIA E-8,URBANA
LA ESTACION E-7,URBANA
ANTIGUO COUNTRY E-2,URBANA
